Temps (h);Q (mW/g)
0,06;15,80
0,22;5,050505051
0,39;0
0,56;0
0,72;0,841750842
0,89;0,816993464
1,06;0
1,22;0
1,39;0
1,56;0,841750842
1,72;0,841750842
1,89;0
2,06;0,841750842
2,22;0,841750842
2,39;0,816993464
2,56;0,841750842
2,72;0,841750842
2,89;1,633986928
3,06;1,683501684
3,22;0,841750842
3,39;1,633986928
3,56;2,525252525
3,72;1,683501684
3,89;2,450980392
4,06;2,525252525
4,22;2,525252525
4,39;3,267973856
4,56;3,367003367
4,72;3,367003367
4,89;3,267973856
5,06;4,208754209
5,22;4,208754209
5,39;4,08496732
5,56;5,050505051
5,72;4,208754209
5,89;4,08496732
6,06;4,208754209
6,22;4,208754209
6,39;4,901960784
6,56;4,208754209
6,72;4,208754209
6,89;4,901960784
7,06;4,208754209
7,22;3,367003367
7,39;3,267973856
7,56;4,208754209
7,72;4,208754209
7,89;3,267973856
8,06;3,367003367
8,22;2,525252525
8,39;2,450980392
8,56;3,367003367
8,72;2,525252525
8,89;2,450980392
9,06;3,367003367
9,22;2,525252525
9,39;1,633986928
9,56;2,525252525
9,72;2,525252525
9,89;1,633986928
10,06;1,683501684
10,22;2,525252525
10,39;2,450980392
10,56;1,683501684
10,72;1,683501684
10,89;1,633986928
11,06;1,683501684
11,22;1,683501684
11,39;1,633986928
11,56;1,683501684
11,72;1,683501684
11,89;1,633986928
12,06;1,683501684
12,22;1,683501684
12,39;0,816993464
12,56;0,841750842
12,72;1,683501684
12,89;1,633986928
13,06;0,841750842
13,22;0,841750842
13,39;1,633986928
13,56;1,683501684
13,72;0,841750842
13,89;0,816993464
14,06;1,683501684
14,22;0,841750842
14,39;0,816993464
14,56;0,841750842
14,72;0,841750842
14,89;1,633986928
15,06;0,841750842
15,22;0,841750842
15,39;0,816993464
15,56;0,841750842
15,72;0,841750842
15,89;0,816993464
16,06;0,841750842
16,22;0,841750842
16,39;0,816993464
16,56;0,841750842
16,72;0,841750842
16,89;0,816993464
17,06;0,841750842
17,22;0
17,39;0,816993464
17,56;0,841750842
17,72;0
17,89;0,816993464
18,06;0,816993464
18,23;0,841750842
18,39;0,841750842
18,56;0
18,73;0
18,89;0,841750842
19,06;0,816993464
19,23;0
19,39;0,841750842
19,56;0,816993464
19,73;0
19,89;0,841750842
20,06;0,816993464
20,23;0
20,39;0
20,56;0,816993464
20,73;0,841750842
20,89;0
21,06;0
21,23;0,841750842
21,39;0,841750842
21,56;0
21,73;0
21,89;0
22,06;0
22,23;0,841750842
22,39;0,841750842
22,56;0
22,73;0
22,89;0,841750842
23,06;0,816993464
23,23;0
23,39;0
23,56;0
23,73;0
23,89;0
24,06;0,816993464
24,23;0,841750842
24,39;0
24,56;0
24,73;0
24,89;0
25,06;0
25,23;0
25,39;0
25,56;0
25,73;0,841750842
25,89;0,841750842
26,06;0
26,23;0
26,39;0
26,56;0
26,73;0
26,89;0,841750842
27,06;0,816993464
27,23;0,841750842
27,39;0
27,56;0,816993464
27,73;0
27,89;0
28,06;0
28,23;0
28,39;0
28,56;0
28,73;0
28,89;0
29,06;0
29,23;0
29,39;0
29,56;0
29,73;0
29,89;0,841750842
30,06;0,816993464
30,23;0
30,39;0
30,56;0
30,73;0
30,89;0
31,06;0
31,23;0
31,39;0
31,56;0
31,73;0
31,89;0
32,06;0
32,23;0
32,39;0
32,56;0
32,73;0
32,89;0
33,06;0
33,23;0
33,39;0
33,56;0
33,73;0
33,89;0
34,06;0
34,23;0
34,39;0
34,56;0
34,73;0
34,89;0
35,06;0
35,23;0
35,39;0
35,56;0
35,73;0
35,89;0
36,06;0
36,23;0
36,39;0
36,56;0
36,73;0
36,89;0
37,06;0
37,23;0
37,39;0
37,56;0
37,73;0
37,89;0
38,06;0
38,23;0
38,39;0
38,56;0
38,73;0
38,89;0
39,06;0
39,23;0
39,40;0
39,56;0
39,73;0
39,90;0
40,06;0
40,23;0
40,40;0
40,56;0
40,73;0
40,90;0
41,06;0
41,23;0
41,40;0
41,56;0
41,73;0
41,90;0
42,06;0
42,23;0
42,40;0,841750842
42,56;0,841750842
42,73;0
42,90;0
43,06;0
43,23;0
43,40;0
43,56;0
43,73;0
43,90;0
44,06;0
44,23;0
44,40;0
44,56;0
44,73;0
44,90;0
45,06;0
45,23;0
45,40;0
45,56;0
45,73;0
45,90;0
46,06;0
46,23;0
46,40;0
46,56;0
46,73;0
46,90;0
47,06;0
47,23;0
47,40;0
47,56;0
47,73;0
47,90;0
48,06;0
48,23;0
48,40;0
48,56;0
48,73;0
48,90;0
49,06;0
49,23;0
49,40;0
49,56;0
49,73;0
49,90;0
50,06;0,841750842
50,23;0
50,40;0
50,56;0,841750842
50,73;0
50,90;0
51,06;0
51,23;0
51,40;0
51,56;0
51,73;0
51,90;0
52,06;0
52,23;0
52,40;0
52,56;0
52,73;0
52,90;0
53,06;0
53,23;0
53,40;0
53,56;0
53,73;0
53,90;0
54,06;0
54,23;0
54,40;0
54,56;0
54,73;0
54,90;0
55,06;0
55,23;0
55,40;0
55,56;0
55,73;0
55,90;0
56,06;0
56,23;0
56,40;0
56,56;0
56,73;0
56,90;0
57,06;0
57,23;0
57,40;0,841750842
57,56;0
57,73;0,816993464
57,90;0,841750842
58,06;0,841750842
58,23;0,816993464
58,40;0,841750842
58,56;0
58,73;0,816993464
58,90;0,841750842
59,06;0
59,23;0
59,40;0
59,56;0
59,73;0
59,90;0
60,06;0
60,23;0
60,40;0
60,57;0
60,73;0
60,90;0
61,07;0
61,23;0
61,40;0
61,57;0
61,73;0
61,90;0
62,07;0
62,23;0
62,40;0
62,57;0
62,73;0
62,90;0
63,07;0
63,23;0
63,40;0
63,57;0
63,73;0
63,90;0
64,07;0
64,23;0
64,40;0
64,57;0
64,73;0
64,90;0
65,07;0
65,23;0
65,40;0,816993464
65,57;0
65,73;0,841750842
65,90;0
66,07;0,841750842
66,23;0
66,40;0,816993464
66,57;0,841750842
66,73;0
66,90;0,816993464
67,07;0
67,23;0
67,40;0,816993464
67,57;0
67,73;0,841750842
67,90;0
68,07;0
68,23;0
68,40;0
68,57;0
68,73;0
68,90;0
69,07;0,841750842
69,23;0
69,40;0,816993464
69,57;0
69,73;0
69,90;0
70,07;0,841750842
70,23;0,841750842
70,40;0
70,57;0
70,73;0
70,90;0
71,07;0
71,23;0,841750842
71,40;0
71,57;0,841750842
71,73;0
71,90;0
72,07;-0,594962139
