Temps (h);Q (mW/g)
0,54;10,6
0,7;3,367003367
0,87;0,408496732
1,04;0,420875421
1,2;0,841750842
1,37;0,408496732
1,54;0,420875421
1,7;0,420875421
1,87;0,408496732
2,04;0,841750842
2,2;0,420875421
2,37;0,408496732
2,54;0,841750842
2,7;0,841750842
2,87;0,816993464
3,04;0,841750842
3,2;1,262626263
3,37;1,633986928
3,54;1,683501684
3,7;1,683501684
3,87;2,04248366
4,04;2,525252525
4,2;2,525252525
4,37;2,450980392
4,54;2,525252525
4,7;2,946127946
4,87;3,267973856
5,04;3,367003367
5,2;3,367003367
5,37;3,676470588
5,54;3,787878788
5,7;3,787878788
5,87;4,08496732
6,04;4,208754209
6,2;4,208754209
6,37;4,08496732
6,54;4,208754209
6,7;4,208754209
6,87;3,676470588
7,04;3,787878788
7,2;4,208754209
7,37;3,676470588
7,54;3,787878788
7,7;3,787878788
7,87;3,267973856
8,04;3,787878788
8,2;3,367003367
8,37;2,859477124
8,54;3,367003367
8,7;2,946127946
8,87;2,450980392
9,04;2,946127946
9,2;2,946127946
9,37;2,04248366
9,54;2,104377104
9,7;2,525252525
9,87;2,450980392
10,04;2,104377104
10,2;2,104377104
10,37;2,04248366
10,54;1,683501684
10,7;2,104377104
10,87;1,633986928
11,04;1,262626263
11,2;1,683501684
11,37;1,633986928
11,54;1,683501684
11,7;1,683501684
11,87;1,225490196
12,04;1,262626263
12,2;1,683501684
12,37;1,225490196
12,54;0,841750842
12,7;1,262626263
12,87;1,633986928
13,04;1,262626263
13,2;1,262626263
13,37;1,225490196
13,54;1,262626263
13,7;1,262626263
13,87;0,816993464
14,04;1,262626263
14,2;1,262626263
14,37;1,225490196
14,54;1,262626263
14,7;0,841750842
14,87;1,225490196
15,04;1,262626263
15,2;0,841750842
15,37;0,816993464
15,54;0,816993464
15,71;1,262626263
15,87;1,262626263
16,04;0,841750842
16,2;0,841750842
16,37;0,816993464
16,54;0,841750842
16,7;1,262626263
16,87;0,816993464
17,04;0,420875421
17,2;0,841750842
17,37;1,225490196
17,54;0,816993464
17,71;0,420875421
17,87;0,841750842
18,04;0,816993464
18,21;0,841750842
18,37;0,841750842
18,54;0,816993464
18,71;0,841750842
18,87;0,841750842
19,04;0,816993464
19,21;0,420875421
19,37;0,420875421
19,54;0,816993464
19,71;0,841750842
19,87;0,420875421
20,04;0,408496732
20,21;0,841750842
20,37;0,841750842
20,54;0,408496732
20,71;0,420875421
20,87;0,841750842
21,04;0,408496732
